"ID";"PrecoTotal";"Periodo_Aluguer";"data";"Cliente_NIF";"Vendedor_ID";"Metodo_Pagamento"
1;14.99;3.0;"2023-05-01";"123456789";1;"Cartão de crédito"
2;10.49;2.0;"2023-05-02";"987654321";2;"Dinheiro"
3;8.99;2.0;"2023-05-03";"456789123";3;"Cartão de débito"
4;19.99;5.0;"2023-05-04";"789123456";4;"Transferência bancária"
5;6.99;1.0;"2023-05-05";"654321987";5;"Cartão de crédito"
6;12.99;3.0;"2023-05-06";"789123456";6;"Dinheiro"
7;9.99;2.0;"2023-05-07";"654321987";7;"Cartão de débito"
8;16.99;4.0;"2023-05-08";"123789456";8;"Transferência bancária"
9;13.99;3.0;"2023-05-09";"987321654";9;"Cartão de crédito"
10;8.49;2.0;"2023-05-10";"456987123";10;"Dinheiro"
11;11.99;3.0;"2023-05-11";"789456321";11;"Cartão de débito"
12;18.99;4.0;"2023-05-12";"321456789";12;"Transferência bancária"
13;9.99;2.0;"2023-05-13";"456321987";13;"Cartão de crédito"
14;14.99;3.0;"2023-05-14";"789654321";14;"Dinheiro"
15;6.58;1.0;"2023-05-15";"987321654";15;"Transferência bancária"
16;12.99;3.0;"2023-07-03";"987321654";6;"Transferência bancária"
